-....-..--..--..-....- -izmusa
..-.-.-..-.-.-.. ikrekre
...-..-.-..-... ilkus
...-...-...-... illeni
...-....-... ilus
..--.. imi
..--.. imi
..--.......--.. imihez
..--.--.--.. imád
..--.--.--.. imád
..-..-.. inai
..-..-..-.. inaid
..-.-.-.. ince
..-.-.. ind
..-.-.. ind
..-.-....-.-.. indul
..-..-.. ined
..-.--..--.-.. ingemre
..-...-.. inid
..-.----.-.. inotai
..-.----.-.. inotai
..-.-.-.. inted
..-.-.--..-..--.-.-.. integrál
..-.-.--..-..--.-.-.. integrál
..-.-.-.. intene
..-.-..-.-.. interne
..-.-..-.-..-.-.. interneted
..-.-..-.-..-.-.. internetre
..-.-.. inti
..-.-.-...-.-.-.. intrikai
..-.----.-.. intõd
...-..-------..-... iramodni
...-.--..-.-..--.-... irgalmas
...-.-... irts
..... is
....... isi
.......... isis
.....-.-..... istenes
..-.-.-.. ital
..-.---------.-.. itatótól
..--.--.. ittad
..--.--.. ittad
.....-.--.-..... ivási
..--..--.. izz
.---..-....-..---. jelelõ
.---..-...-..---. jelenje
.---..-..---..-..---. jelölõ
.---.-.---. jenõ
.--------. jog
.-------. jon
.---..---. jug
.-------. jón
.-------. jón
.-------. jón
.------. jõ
-.-.--.-.- kaka
-.-.-.-....-.-.-.- kalinka
-.-.--...--.-.- kanunk
-.-.-.--.-.--.-.-.- kaptárt
-.-.-.-.-.-.- karka
-.-.-.-.- kart
-.-.-...-.-.- kaska
-.-.--.--.--.-.- katánk
-.-.------.-.- katónk
-.-.-.-.--..-..--.-.-.-.- kecmeregtetek
-.-.-.....-.-.- kedvek
-.-.-.....-.....-.-.- kedveseket
-.-.-.....-.....-.-.- kedvesetek
-.-...-...-...-...-.- kefélek
-.-...-...-...-...-...-.- keféllek
-.-.--.-.--.-.- kegyek
-.-..........-.- kehesek
-.-.-.- kek
-.-..-....-..-.- keleltet
-.-..-...-..-.- keletik
-.-..-..............-..-.- kelhessenek
-.-..-...-...-..-.- kellenek
-.-..-...-...-...-..-.- kellenék
-.-..-...-....-...-..-.- kellerék
-.-..-...-...-..-.- kelletik
-.-..-...-...-..-.- kelletik
-.-..-..--..-..-.- kelmék
-.-..-..-..-.- kelnek
-.-..-..-..-.- kelnek
-.-..-..-...-..-..-.- kelnének
-.-..-..-.- kelta
-.-..-..-.- kelta
-.-..-..-.-.-..-..-.- kelteként
-.-..-..-.- keltet
-.-..-..-..-.- keltik
-.-..-..-..-.-..-..-..-.- keltikének
-.-..-..-..-..-..-.- keltének
-.-..-.....-..-.- kelvint
-.-.-..-.-.-..-.-.- kenekedtek
-.-.-..-.-.- kenetek
-.-.-......-.-.- kenhetek
-.-.-.- kent
-.-.-.- kent
-.-.-.-.-.- kentek
-.-.-.-.- kentet
-.-.-.-.-.-.- kentetek
-.-..--.....--..-.- kepesztet
-.-..--..--..-.- keppek
-.-..-..-.- kerek
-.-..-..-.- kerek
-.-..-..-.-.-..-..-.- kerekednek
-.-..-..-.-.-.-..-..-.- kerekeként
-.-..-..-.-.-.-.-..-..-.- kerekenként
-.-..-..-.-..-..-.- kerekinek
-.-..-..-.-..-..-.- kerekék
-.-..-..-.-..-..-.- kerekék
-.-..-..-.-..-..-.- kerekítik
-.-..-......-..-.- keresetik
-.-..-.................-..-.- kereshessenek
-.-..-..................-..-.- kereshessék
-.-..-..................-..-.- kereshessék
-.-..-..........-..-.- kereshetik
-.-..-.....-..-.- keresnek
-.-..-.........-..-.- keressenek
-.-..-..........-..-.- keressék
-.-..-..........-..-.- keressék
-.-..-.....-.-.....-..-.- kerestethetik
-.-..-..-.-.-..-..-.- kereteként
-.-..-..-..-..-..-.- keretelnek
-.-..-..-..-..-..-..-.- keretelték
-.-..-..-.-.-.-..-..-.- keretenként
